SPY
IJS
VTI
IYR
EFA
EFV
GOOG
AAPL
AMZN
MSFT
AMD
GE
CSCO
HPQ
AXP
DIS
JPM
BBRY
DAL
IBM
XOM
TSLA
PG
KO
TWTR
HD
UPS
